,Contrato,Situação
WINDSOR MARTINIQUE-7,42****72,pendente
WINDSOR COPA-0,41****38,pendente
WINDSOR COPA-1,41****81,pendente
WINDSOR COPA-3,41****99,pendente
WINDSOR COPA-4,41****10,pendente
WINDSOR COPA-8,40****09,pendente
WINDSOR COPA-11,40****13,pendente
WINDSOR PALACE-0,41****32,pendente
WINDSOR PALACE-1,41****04,pendente
WINDSOR PALACE-2,41****49,pendente
WINDSOR PALACE-3,41****45,pendente
WINDSOR PALACE-7,40****09,pendente
WINDSOR PALACE-10,40****13,pendente
WINDSOR FLORIDA-0,41****05,pendente
WINDSOR FLORIDA-1,41****12,pendente
WINDSOR FLORIDA-3,41****22,pendente
WINDSOR FLORIDA-4,41****70,pendente
WINDSOR FLORIDA-7,42****21,pendente
WINDSOR FLORIDA-8,42****72,pendente
WINDSOR FLORIDA-9,42****13,pendente
WINDSOR FLORIDA-10,42****45,pendente
WINDSOR FLORIDA-11,42****70,pendente
WINDSOR FLORIDA-12,42****17,pendente
WINDSOR OCEÂNICO-0,42****13,pendente
WINDSOR OCEÂNICO-1,42****45,pendente
WINDSOR OCEÂNICO-2,42****70,pendente
WINDSOR OCEÂNICO-3,42****17,pendente
WINDSOR BARRA-0,41****20,pendente
WINDSOR BARRA-1,41****30,pendente
WINDSOR BARRA-2,41****85,pendente
WINDSOR BARRA-3,41****00,pendente
WINDSOR BARRA-4,40****44,pendente
WINDSOR BARRA-5,40****54,pendente
WINDSOR BARRA-6,40****65,pendente
WINDSOR MIRAMAR-0,40****44,pendente
WINDSOR MIRAMAR-1,40****54,pendente
WINDSOR MIRAMAR-2,40****65,pendente
WINDSOR MIRAMAR-3,41****10,pendente
WINDSOR MIRAMAR-4,41****82,pendente
WINDSOR MIRAMAR-5,41****54,pendente
WINDSOR MIRAMAR-6,41****99,pendente
WINDSOR MIRAMAR-7,41****41,pendente
WINDSOR MIRAMAR-8,41****64,pendente
WINDSOR MIRAMAR-9,42****25,pendente
WINDSOR MIRAMAR-10,42****40,pendente
WINDSOR PLAZA-0,41****41,pendente
WINDSOR PLAZA-1,41****64,pendente
WINDSOR PLAZA-2,42****25,pendente
WINDSOR PLAZA-3,42****40,pendente
WINDSOR ASTURIAS-0,41****03,pendente
WINDSOR ASTURIAS-1,41****72,pendente
WINDSOR ASTURIAS-2,41****26,pendente
WINDSOR ASTURIAS-3,41****22,pendente
WINDSOR ASTURIAS-4,39****06,pendente
WINDSOR ASTURIAS-5,39****49,pendente
WINDSOR ASTURIAS-6,40****19,pendente
WINDSOR ASTURIAS-7,40****70,pendente
WINDSOR LEME-0,41****03,pendente
WINDSOR LEME-1,41****72,pendente
WINDSOR LEME-2,41****26,pendente
WINDSOR LEME-3,41****22,pendente
WINDSOR LEME-4,39****06,pendente
WINDSOR LEME-5,39****49,pendente
WINDSOR LEME-6,40****19,pendente
WINDSOR LEME-7,40****70,pendente
WINDSOR EXCELSIOR-0,39****06,pendente
WINDSOR EXCELSIOR-1,39****49,pendente
WINDSOR EXCELSIOR-2,40****19,pendente
WINDSOR EXCELSIOR-3,40****70,pendente
WINDSOR EXCELSIOR-4,41****41,pendente
WINDSOR EXCELSIOR-5,41****64,pendente
WINDSOR EXCELSIOR-6,42****25,pendente
WINDSOR EXCELSIOR-7,42****40,pendente
BW BARRA-0,41****41,pendente
BW BARRA-1,41****64,pendente
BW BARRA-2,42****25,pendente
BW BARRA-3,42****40,pendente
BW BARRA-4,42****13,pendente
BW BARRA-5,42****87,pendente
BW BARRA-6,42****20,pendente
PLAZA BARRA-0,42****13,pendente
PLAZA BARRA-1,42****87,pendente
PLAZA BARRA-2,42****20,pendente
PLAZA BARRA-3,42****24,pendente
PLAZA BARRA-4,42****68,pendente
PLAZA BARRA-5,42****50,pendente
PLAZA BARRA-6,42****76,pendente
B&B FORTE-0,42****24,pendente
B&B FORTE-1,42****68,pendente
B&B FORTE-2,42****50,pendente
B&B FORTE-3,42****76,pendente
SUN VICTORY-0,41****31,pendente
SUN VICTORY-1,40****33,pendente
SUN VICTORY-2,40****14,pendente
SUN VICTORY-3,40****47,pendente
SUN VICTORY-5,41****18,pendente
SUN VICTORY-6,41****74,pendente
SUN VICTORY-7,41****17,pendente
SUN VICTORY-8,41****26,pendente
SUN VICTORY-9,40****44,pendente
SUN VICTORY-10,40****54,pendente
SUN VICTORY-11,40****65,pendente
